Documento 1,Documento 2,Similitud (%)
doc_generado_24.txt,doc_generado_42.txt,1.00
doc_generado_24.txt,doc_generado_31.txt,1.00
doc_generado_2.txt,doc_generado_86.txt,1.00
doc_generado_15.txt,doc_generado_82.txt,1.00
doc_generado_15.txt,doc_generado_7.txt,1.00
doc_generado_15.txt,doc_generado_65.txt,1.00
doc_generado_15.txt,doc_generado_34.txt,1.00
doc_generado_12.txt,doc_generado_91.txt,1.00
doc_generado_12.txt,doc_generado_90.txt,1.00
doc_generado_12.txt,doc_generado_25.txt,1.00
doc_generado_11.txt,doc_generado_95.txt,1.00
doc_generado_11.txt,doc_generado_8.txt,1.00
doc_generado_11.txt,doc_generado_72.txt,1.00
doc_generado_11.txt,doc_generado_62.txt,1.00
doc_generado_11.txt,doc_generado_6.txt,1.00
doc_generado_11.txt,doc_generado_54.txt,1.00
doc_generado_11.txt,doc_generado_44.txt,1.00
doc_generado_11.txt,doc_generado_40.txt,1.00
doc_generado_100.txt,doc_generado_82.txt,1.00
doc_generado_100.txt,doc_generado_7.txt,1.00
doc_generado_100.txt,doc_generado_65.txt,1.00
doc_generado_100.txt,doc_generado_34.txt,1.00
doc_generado_100.txt,doc_generado_15.txt,1.00
doc_generado_10.txt,doc_generado_80.txt,1.00
doc_generado_10.txt,doc_generado_74.txt,1.00
doc_generado_10.txt,doc_generado_39.txt,1.00
doc_generado_10.txt,doc_generado_37.txt,1.00
documento6.txt,doc_generado_82.txt,1.00
documento6.txt,doc_generado_7.txt,1.00
documento6.txt,doc_generado_65.txt,1.00
documento6.txt,doc_generado_34.txt,1.00
documento6.txt,doc_generado_15.txt,1.00
documento6.txt,doc_generado_100.txt,1.00
documento5.txt,doc_generado_91.txt,1.00
documento5.txt,doc_generado_90.txt,1.00
documento5.txt,doc_generado_25.txt,1.00
documento5.txt,doc_generado_12.txt,1.00
documento4.txt,doc_generado_95.txt,1.00
documento4.txt,doc_generado_8.txt,1.00
documento4.txt,doc_generado_72.txt,1.00
documento4.txt,doc_generado_62.txt,1.00
documento4.txt,doc_generado_6.txt,1.00
documento4.txt,doc_generado_54.txt,1.00
documento4.txt,doc_generado_44.txt,1.00
